vi,en
"Cẩn thận lúc trát tường, coi chừng nguy hiểm.","Be careful during plastering, watch out for danger."
Cho mình mượn máy hàn được không?,Can i borrow the welding machine?
"Nhanh lên, máy trộn bê tông bị kẹt cứng rồi, đổi máy khác!","Hurry up, the concrete mixer is jammed, switch to another machine!"
"Nhanh lên, xe lu bị nổ lốp, gọi thợ sửa đi!","Hurry up, the road roller has a tire blowout, call the repairman!"
"Khẩn cấp, máy rải nhựa bị xì nhớt thủy lực, báo cáo giám sát!","Urgent, the asphalt paver is leaking hydraulic fluid, report to the supervisor!"
Cho mình mượn máy trộn bê tông được không?,Can i borrow the concrete mixer?
Cho mình mượn máy đóng cọc được không?,Can i borrow the pile driver?
"Báo cáo giám sát, cẩu tháp hư motor rồi.","Report to supervisor, the tower crane has motor failure."
"Anh em ơi, xe cẩu đang kêu to lắm, dừng máy ngay!","Guys, the crane truck is making a loud noise, stop the machine immediately!"
"Cẩn thận lúc buộc thép, coi chừng nguy hiểm.","Be careful during rebar tying, watch out for danger."
Hôm nay tổ chúng ta sẽ làm phần đổ bê tông.,Today our crew will do the pouring concrete.
"Cẩn thận lúc đổ bê tông, coi chừng nguy hiểm.","Be careful during pouring concrete, watch out for danger."
Hôm nay tổ chúng ta sẽ làm phần lát gạch.,Today our crew will do the tiling.
Cho mình mượn bơm chìm được không?,Can i borrow the submersible pump?
Hôm nay tổ chúng ta sẽ làm phần trát tường.,Today our crew will do the plastering.
"Cẩn thận lúc đóng cốp pha, coi chừng nguy hiểm.","Be careful during formwork installation, watch out for danger."
"Anh em ơi, xe lu bị tuột sên, đổi máy khác!","Guys, the road roller slipped its chain, switch to another machine!"
Hôm nay tổ chúng ta sẽ làm phần cắt thép.,Today our crew will do the cutting steel.
Cho mình mượn máy xúc số ba được không?,Can i borrow excavator number three?
"Báo cáo cai thầu, máy xúc số ba bị rò điện.","Report to foreman, excavator number three has an electrical leakage."
Cho mình mượn xe cẩu được không?,Can i borrow the crane truck?
"Báo cáo kỹ sư, máy trộn bê tông bị rò điện.","Report to engineer, the concrete mixer has an electrical leakage."
"Lưu ý, xe lu không khởi động được, kiểm tra lẹ giùm mình!","Attention, the road roller won't start, please check it immediately!"
"Nhanh lên, máy trộn bê tông bị rò điện, lập biên bản!","Hurry up, the concrete mixer has an electrical leakage, make a report!"
"Báo cáo công nhân hàn, xe lu hư motor rồi.","Report to welder, the road roller has motor failure."
Hôm nay tổ chúng ta sẽ làm phần kéo cáp.,Today our crew will do the cable pulling.
"Trời ơi, xe ủi vừa bốc khói, gọi đội bảo trì!","Oh my god, the bulldozer just emitted smoke, call the maintenance team!"
"Báo cáo công nhân hàn, máy đóng cọc không khởi động được.","Report to welder, the pile driver won't start."
"Cẩn thận lúc lát gạch, coi chừng nguy hiểm.","Be careful during tiling, watch out for danger."
Hôm nay tổ chúng ta sẽ làm phần đóng cốp pha.,Today our crew will do the formwork installation.
"Cẩn thận lúc kéo cáp, coi chừng nguy hiểm.","Be careful during cable pulling, watch out for danger."
"Báo cáo tổ đội, xe lu bị nổ lốp.","Report to the crew, the road roller has a tire blowout."
Cho mình mượn cẩu tháp được không?,Can i borrow the tower crane?
"Báo cáo cai thầu, máy hàn vừa bốc khói.","Report to foreman, the welding machine just emitted smoke."
"Cảnh báo, máy xúc số ba bị kẹt cứng rồi, cúp điện khẩn cấp!","Warning, excavator number three is jammed, cut the power urgently!"
"Lưu ý, máy hàn bị nổ lốp, chụp hình lại!","Attention, the welding machine has a tire blowout, take a picture!"
"Báo cáo công nhân hàn, máy trộn bê tông bị rò điện.","Report to welder, the concrete mixer has an electrical leakage."
"Khẩn cấp, máy trộn bê tông không khởi động được, chụp hình lại!","Urgent, the concrete mixer won't start, take a picture!"
"Báo cáo công nhân hàn, xe cẩu bị xì nhớt thủy lực.","Report to welder, the crane truck is leaking hydraulic fluid."
"Báo cáo đội trưởng, cẩu tháp hư motor rồi.","Report to crew chief, the tower crane has motor failure."
"Khẩn cấp, máy đóng cọc bị tuột sên, gọi đội bảo trì!","Urgent, the pile driver slipped its chain, call the maintenance team!"
"Cẩn thận lúc cắt thép, coi chừng nguy hiểm.","Be careful during cutting steel, watch out for danger."
"Báo cáo cai thầu, xe lu bị tuột sên.","Report to foreman, the road roller slipped its chain."
"Báo cáo tổ đội, máy trộn bê tông bị rò điện.","Report to the crew, the concrete mixer has an electrical leakage."
"Khẩn cấp, xe lu bị tuột sên, lập biên bản!","Urgent, the road roller slipped its chain, make a report!"
"Khẩn cấp, máy rải nhựa bị xì nhớt thủy lực, lập biên bản!","Urgent, the asphalt paver is leaking hydraulic fluid, make a report!"
"Báo cáo đội trưởng, xe cẩu không khởi động được.","Report to crew chief, the crane truck won't start."
"Anh em ơi, máy xúc số ba bị kẹt cứng rồi, gọi đội bảo trì!","Guys, excavator number three is jammed, call the maintenance team!"
"Báo cáo kỹ sư, máy rải nhựa không khởi động được.","Report to engineer, the asphalt paver won't start."
"Ê bạn ơi, máy rải nhựa hư motor rồi, gọi đội bảo trì!","Hey buddy, the asphalt paver has motor failure, call the maintenance team!"
Hôm nay tổ chúng ta sẽ làm phần buộc thép.,Today our crew will do the rebar tying.
"Nhanh lên, máy xúc số ba bị tuột sên, đổi máy khác!","Hurry up, excavator number three slipped its chain, switch to another machine!"
"Báo cáo chỉ huy trưởng, bơm chìm vừa bốc khói.","Report to site manager, the submersible pump just emitted smoke."
"Cảnh báo, máy hàn bị nổ lốp, chụp hình lại!","Warning, the welding machine has a tire blowout, take a picture!"
Cho mình mượn xe lu được không?,Can i borrow the road roller?
"Báo cáo chỉ huy trưởng, máy đóng cọc bị rò điện.","Report to site manager, the pile driver has an electrical leakage."
"Anh em ơi, máy trộn bê tông bị kẹt cứng rồi, chụp hình lại!","Guys, the concrete mixer is jammed, take a picture!"
"Trời ơi, máy trộn bê tông bị nổ lốp, dừng máy ngay!","Oh my god, the concrete mixer has a tire blowout, stop the machine immediately!"
"Báo cáo chỉ huy trưởng, xe cẩu bị xì nhớt thủy lực.","Report to site manager, the crane truck is leaking hydraulic fluid."
"Ê bạn ơi, máy hàn bị tuột sên, cúp điện khẩn cấp!","Hey buddy, the welding machine slipped its chain, cut the power urgently!"
"Nhanh lên, xe cẩu vừa bốc khói, báo cáo giám sát!","Hurry up, the crane truck just emitted smoke, report to the supervisor!"
"Trời ơi, máy xúc số ba bị kẹt cứng rồi, cúp điện khẩn cấp!","Oh my god, excavator number three is jammed, cut the power urgently!"
"Nhanh lên, xe cẩu bị xì nhớt thủy lực, đổi máy khác!","Hurry up, the crane truck is leaking hydraulic fluid, switch to another machine!"
"Lưu ý, máy rải nhựa vừa bốc khói, tránh xa ra!","Attention, the asphalt paver just emitted smoke, stay away!"
"Báo cáo tổ đội, bơm chìm bị nổ lốp.","Report to the crew, the submersible pump has a tire blowout."
"Báo cáo tổ đội, cẩu tháp vừa bốc khói.","Report to the crew, the tower crane just emitted smoke."
Cho mình mượn xe ủi được không?,Can i borrow the bulldozer?
"Báo cáo anh thợ máy, xe lu bị tuột sên.","Report to mechanic, the road roller slipped its chain."
"Khẩn cấp, máy xúc số ba bị kẹt cứng rồi, lập biên bản!","Urgent, excavator number three is jammed, make a report!"
"Anh em ơi, máy hàn bị kẹt cứng rồi, chụp hình lại!","Guys, the welding machine is jammed, take a picture!"
Cho mình mượn máy rải nhựa được không?,Can i borrow the asphalt paver?
"Báo cáo kỹ sư, cẩu tháp bị kẹt cứng rồi.","Report to engineer, the tower crane is jammed."
"Ê bạn ơi, xe cẩu bị tuột sên, cúp điện khẩn cấp!","Hey buddy, the crane truck slipped its chain, cut the power urgently!"
"Báo cáo đội trưởng, cẩu tháp vừa bốc khói.","Report to crew chief, the tower crane just emitted smoke."
"Báo cáo kỹ sư, cẩu tháp hư motor rồi.","Report to engineer, the tower crane has motor failure."
"Báo cáo anh thợ máy, bơm chìm bị nổ lốp.","Report to mechanic, the submersible pump has a tire blowout."
"Báo cáo kỹ sư, xe cẩu hư motor rồi.","Report to engineer, the crane truck has motor failure."
"Trời ơi, cẩu tháp không khởi động được, cúp điện khẩn cấp!","Oh my god, the tower crane won't start, cut the power urgently!"
"Khẩn cấp, máy đóng cọc bị kẹt cứng rồi, gọi đội bảo trì!","Urgent, the pile driver is jammed, call the maintenance team!"
"Báo cáo đội trưởng, xe cẩu bị kẹt cứng rồi.","Report to crew chief, the crane truck is jammed."
"Khẩn cấp, máy xúc số ba vừa bốc khói, kiểm tra lẹ giùm mình!","Urgent, excavator number three just emitted smoke, please check it immediately!"
"Báo cáo cai thầu, máy đóng cọc bị tuột sên.","Report to foreman, the pile driver slipped its chain."
"Báo cáo công nhân hàn, xe ủi không khởi động được.","Report to welder, the bulldozer won't start."
"Lưu ý, xe cẩu bị tuột sên, đổi máy khác!","Attention, the crane truck slipped its chain, switch to another machine!"
"Ê bạn ơi, cẩu tháp hư motor rồi, dừng máy ngay!","Hey buddy, the tower crane has motor failure, stop the machine immediately!"
"Báo cáo kỹ sư, máy rải nhựa đang kêu to lắm.","Report to engineer, the asphalt paver is making a loud noise."
"Nhanh lên, máy hàn không khởi động được, gọi đội bảo trì!","Hurry up, the welding machine won't start, call the maintenance team!"
"Cảnh báo, máy xúc số ba bị xì nhớt thủy lực, gọi đội bảo trì!","Warning, excavator number three is leaking hydraulic fluid, call the maintenance team!"
"Anh em ơi, xe lu đang kêu to lắm, kiểm tra lẹ giùm mình!","Guys, the road roller is making a loud noise, please check it immediately!"
"Báo cáo công nhân hàn, cẩu tháp bị nổ lốp.","Report to welder, the tower crane has a tire blowout."
"Nhanh lên, máy xúc số ba bị kẹt cứng rồi, cúp điện khẩn cấp!","Hurry up, excavator number three is jammed, cut the power urgently!"
"Khẩn cấp, máy hàn đang kêu to lắm, gọi đội bảo trì!","Urgent, the welding machine is making a loud noise, call the maintenance team!"
"Báo cáo đội trưởng, máy trộn bê tông bị tuột sên.","Report to crew chief, the concrete mixer slipped its chain."
"Báo cáo anh thợ máy, máy trộn bê tông bị rò điện.","Report to mechanic, the concrete mixer has an electrical leakage."
"Trời ơi, cẩu tháp bị nổ lốp, gọi thợ sửa đi!","Oh my god, the tower crane has a tire blowout, call the repairman!"
"Báo cáo chỉ huy trưởng, xe lu bị rò điện.","Report to site manager, the road roller has an electrical leakage."
"Báo cáo giám sát, xe ủi hư motor rồi.","Report to supervisor, the bulldozer has motor failure."
"Báo cáo giám sát, máy trộn bê tông đang kêu to lắm.","Report to supervisor, the concrete mixer is making a loud noise."
"Nhanh lên, máy hàn vừa bốc khói, kiểm tra lẹ giùm mình!","Hurry up, the welding machine just emitted smoke, please check it immediately!"
"Nhanh lên, máy trộn bê tông vừa bốc khói, dừng máy ngay!","Hurry up, the concrete mixer just emitted smoke, stop the machine immediately!"
"Báo cáo anh thợ máy, máy trộn bê tông bị kẹt cứng rồi.","Report to mechanic, the concrete mixer is jammed."
"Cảnh báo, máy rải nhựa bị tuột sên, gọi đội bảo trì!","Warning, the asphalt paver slipped its chain, call the maintenance team!"
"Báo cáo giám sát, bơm chìm đang kêu to lắm.","Report to supervisor, the submersible pump is making a loud noise."
"Báo cáo đội trưởng, cẩu tháp không khởi động được.","Report to crew chief, the tower crane won't start."
"Ê bạn ơi, xe ủi bị xì nhớt thủy lực, gọi đội bảo trì!","Hey buddy, the bulldozer is leaking hydraulic fluid, call the maintenance team!"
"Anh em ơi, máy hàn không khởi động được, chụp hình lại!","Guys, the welding machine won't start, take a picture!"
"Trời ơi, xe lu bị nổ lốp, gọi thợ sửa đi!","Oh my god, the road roller has a tire blowout, call the repairman!"
"Báo cáo công nhân hàn, xe cẩu bị tuột sên.","Report to welder, the crane truck slipped its chain."
"Trời ơi, cẩu tháp vừa bốc khói, chụp hình lại!","Oh my god, the tower crane just emitted smoke, take a picture!"
"Báo cáo công nhân hàn, cẩu tháp đang kêu to lắm.","Report to welder, the tower crane is making a loud noise."
"Anh em ơi, máy xúc số ba bị tuột sên, gọi thợ sửa đi!","Guys, excavator number three slipped its chain, call the repairman!"
"Cảnh báo, máy xúc số ba vừa bốc khói, đổi máy khác!","Warning, excavator number three just emitted smoke, switch to another machine!"
"Ê bạn ơi, máy hàn bị xì nhớt thủy lực, đổi máy khác!","Hey buddy, the welding machine is leaking hydraulic fluid, switch to another machine!"
"Trời ơi, máy xúc số ba bị kẹt cứng rồi, đổi máy khác!","Oh my god, excavator number three is jammed, switch to another machine!"
"Báo cáo đội trưởng, máy hàn vừa bốc khói.","Report to crew chief, the welding machine just emitted smoke."
